testfall_id,stufe,workflow,score_strukturell,score_semantisch,score_gesamt,syntax_gate,fk_gate,pk_rate,pk_tabellen_gesamt,pk_tabellen_mit_pk,fk_referenzen_gesamt,fk_referenzen_ungueltig,entitaet_precision,entitaet_recall,entitaet_f1,entitaet_matched,entitaet_nur_in_referenz,entitaet_nur_in_generiert,attribut_precision,attribut_recall,attribut_f1,attribut_matched,attribut_nur_in_referenz,attribut_nur_in_generiert,beziehung_recall,beziehung_matched,beziehung_nur_in_referenz,beziehung_nur_in_generiert,abweichungen_total,input_tokens,output_tokens,total_tokens,llm_calls,error
TC020,1,oa,1.0,0.6166666666666666,0.77,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.625,0.625,0.625,10,6,6,0.5,1,1,0,8,25975,6450,32425,7,
TC020,1,mad,1.0,0.6166666666666666,0.77,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.625,0.625,0.625,10,6,6,0.5,1,1,0,8,29617,6965,36582,8,
TC021,1,sa,1.0,0.6333333333333333,0.78,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,10,5,5,0.5,1,1,0,7,2313,678,2991,1,
TC021,1,ps,1.0,0.6066666666666666,0.764,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.6,0.6,0.6,9,6,6,0.5,1,1,0,8,7008,2560,9568,3,
TC021,1,iw,1.0,0.6333333333333333,0.78,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,10,5,5,0.5,1,1,0,7,5500,1500,7000,2,
TC021,1,oa,1.0,0.6333333333333333,0.78,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,10,5,5,0.5,1,1,0,7,11731,3274,15005,4,
TC021,1,mad,1.0,0.6333333333333333,0.78,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,10,5,5,0.5,1,1,0,7,27944,5907,33851,8,
TC022,1,sa,1.0,0.48,0.688,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.5333333333333333,0.5333333333333333,0.5333333333333333,8,7,7,0.0,0,2,0,10,2296,673,2969,1,
TC022,1,ps,1.0,0.45333333333333337,0.672,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.4666666666666667,0.4666666666666667,0.4666666666666667,7,8,8,0.0,0,2,0,11,6982,2516,9498,3,
TC022,1,iw,1.0,0.48,0.688,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.5333333333333333,0.5333333333333333,0.5333333333333333,8,7,7,0.0,0,2,0,10,5461,1514,6975,2,
TC022,1,oa,1.0,0.45333333333333337,0.672,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.4666666666666667,0.4666666666666667,0.4666666666666667,7,8,8,0.0,0,2,0,11,11806,3346,15152,4,
TC022,1,mad,1.0,0.4731182795698925,0.6838709677419355,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.5,0.5333333333333333,0.5161290322580646,8,7,8,0.0,0,2,0,10,30565,7666,38231,8,
TC023,1,sa,1.0,0.44166666666666665,0.665,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.4375,0.4375,0.4375,7,9,9,0.0,0,2,0,12,2308,704,3012,1,
TC023,1,ps,1.0,0.44166666666666665,0.665,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.4375,0.4375,0.4375,7,9,9,0.0,0,2,0,12,7110,2646,9756,3,
TC023,1,iw,1.0,0.44166666666666665,0.665,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.4375,0.4375,0.4375,7,9,9,0.0,0,2,0,12,5525,1538,7063,2,
TC023,1,oa,1.0,0.44166666666666665,0.665,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.4375,0.4375,0.4375,7,9,9,0.0,0,2,0,12,12060,3516,15576,4,
TC023,1,mad,1.0,0.44166666666666665,0.665,1,1,1.0,3,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.4375,0.4375,0.4375,7,9,9,0.0,0,2,0,12,28897,6760,35657,8,
TC024,1,sa,1.0,0.7280701754385965,0.8368421052631579,1,1,1.0,4,4,3,0,0.75,0.75,0.75,3,1,1,0.7368421052631579,0.7368421052631579,0.7368421052631579,14,5,5,0.6666666666666666,2,1,0,7,2297,864,3161,1,
TC024,1,ps,1.0,0.7280701754385965,0.8368421052631579,1,1,1.0,4,4,3,0,0.75,0.75,0.75,3,1,1,0.7368421052631579,0.7368421052631579,0.7368421052631579,14,5,5,0.6666666666666666,2,1,0,7,7369,2930,10299,3,
TC024,1,iw,1.0,0.7280701754385965,0.8368421052631579,1,1,1.0,4,4,3,0,0.75,0.75,0.75,3,1,1,0.7368421052631579,0.7368421052631579,0.7368421052631579,14,5,5,0.6666666666666666,2,1,0,7,5677,1774,7451,2,
